Date,Net_Income,Depreciation,Change_in_Working_Capital,Capital_Expenditures,Investments,Operating_Cash_Flow,Free_Cash_Flow
2022-01-01,89716,4967,-3706,8782,38361,90977,82195
2022-01-02,-411193,14673,-19425,22316,-1697,-415945,-438261
2022-01-03,-166074,10171,-12448,34495,6129,-168351,-202846
2022-01-04,-14560,8808,15767,36955,39702,10015,-26940
2022-01-05,147627,7837,18526,31713,-3646,173990,142277
2022-01-06,435817,5735,-4848,13629,18641,436704,423075
2022-01-07,187017,14070,-4220,13363,34603,196867,183504
2022-01-08,327665,14400,8494,8198,1692,350559,342361
2022-01-09,357417,2601,-11636,23783,-30218,348382,324599
2022-01-10,176839,6872,12782,26192,45050,196493,170301
2022-01-11,-145401,2111,9039,20842,37688,-134251,-155093
2022-01-12,130682,8182,3038,9796,-1434,141902,132106
2022-01-13,474814,5832,-14080,6568,34101,466566,459998
2022-01-14,-94085,6232,-10921,39004,-12943,-98774,-137778
2022-01-15,327243,2313,9031,37562,-27492,338587,301025
2022-01-16,185487,11417,-13039,27019,24094,183865,156846
2022-01-17,-348559,5525,15872,17067,39061,-327162,-344229
2022-01-18,-73630,10164,15804,8028,39601,-47662,-55690
2022-01-19,-112206,6336,-5894,31115,-24213,-111764,-142879
2022-01-20,-29315,4101,8856,8164,-14187,-16358,-24522
2022-01-21,418625,11062,-14190,9822,-24137,415497,405675
2022-01-22,103587,13115,933,6980,5130,117635,110655
2022-01-23,8509,10163,-6691,14466,48944,11981,-2485
2022-01-24,-231313,6866,-8635,35130,10385,-233082,-268212
2022-01-25,-221037,11387,14276,36639,40464,-195374,-232013
2022-01-26,-124916,14880,-2642,10917,-36420,-112678,-123595
2022-01-27,258355,9203,-3446,12045,34165,264112,252067
2022-01-28,127496,8041,-15274,31580,-22075,120263,88683
2022-01-29,-288496,12543,10117,39699,-546,-265836,-305535
2022-01-30,456695,6879,-6186,19913,-38164,457388,437475
2022-01-31,683620,2796,-4466,32818,36265,681950,649132
2022-02-01,-150748,9283,16714,39394,-18048,-124751,-164145
2022-02-02,263745,14892,18995,8933,2389,297632,288699
2022-02-03,-169039,3602,13440,12734,34039,-151997,-164731
2022-02-04,-220323,12217,-15121,37001,-48031,-223227,-260228
2022-02-05,343145,10242,11490,39514,-33207,364877,325363
2022-02-06,86384,2061,-15362,29521,18416,73083,43562
2022-02-07,-230466,5304,-12539,24038,-32486,-237701,-261739
2022-02-08,363753,8872,9486,22527,10007,382111,359584
2022-02-09,628388,10680,19892,20533,42638,658960,638427
2022-02-10,-45168,9038,-17079,26372,14177,-53209,-79581
2022-02-11,145513,3543,-10408,30779,46850,138648,107869
2022-02-12,-66928,4684,19376,5620,43241,-42868,-48488
2022-02-13,324867,10497,-11432,10606,6237,323932,313326
2022-02-14,335354,4343,5990,21607,40755,345687,324080
2022-02-15,-38068,10846,-13296,31896,44881,-40518,-72414
2022-02-16,320318,11558,4928,35629,38806,336804,301175
2022-02-17,189339,5826,676,34832,29718,195841,161009
2022-02-18,459516,6810,-15087,35200,-32364,451239,416039
2022-02-19,197902,4009,9156,38419,-17852,211067,172648
2022-02-20,305180,13964,14953,6038,4116,334097,328059
2022-02-21,-143394,9086,15147,14161,-18766,-119161,-133322
2022-02-22,391696,9622,16556,26735,26245,417874,391139
2022-02-23,266144,8797,-18451,18861,4869,256490,237629
2022-02-24,98098,6183,1768,26471,-2040,106049,79578
2022-02-25,192132,12983,4117,10296,-4777,209232,198936
2022-02-26,-161727,14749,-16049,38200,-35761,-163027,-201227
2022-02-27,500045,4788,-2963,14256,39092,501870,487614
2022-02-28,510058,4140,6971,39979,-22362,521169,481190
2022-03-01,382725,7257,-9676,5900,-30462,380306,374406
2022-03-02,304588,7899,-8290,17225,-19394,304197,286972
2022-03-03,113178,12094,-17737,31379,14324,107535,76156
2022-03-04,-361601,11391,-9123,30599,6186,-359333,-389932
2022-03-05,265753,6132,-9721,26052,22323,262164,236112
2022-03-06,502347,14324,-16809,21662,3729,499862,478200
2022-03-07,218780,4269,-19391,12301,8493,203658,191357
2022-03-08,149355,14764,18148,7994,30075,182267,174273
