Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA,Revenue_MA_30,Revenue_growth_pct
2022-01-01,364798,192922,61400,1553,19207,171876,110476,89716,173429,364798.0,0.0
2022-01-02,44871,323399,92836,13812,26017,-278528,-371364,-411193,-264716,204834.5,-0.8769976809083383
2022-01-03,110318,228369,27392,14598,6033,-118051,-145443,-166074,-103453,173329.0,1.4585589801876488
2022-01-04,176693,22353,146610,13435,8855,154340,7730,-14560,167775,174170.0,0.6016697184502982
2022-01-05,193278,32454,11516,671,1010,160824,149308,147627,161495,177991.6,0.0938633675357825
2022-01-06,705430,188028,46903,5814,28868,517402,470499,435817,523216,265898.0,2.6498204658574696
2022-01-07,568502,238239,123109,12787,7350,330263,207154,187017,343050,309127.14285714284,-0.19410572275066273
2022-01-08,665054,251893,70358,12834,2304,413161,342803,327665,425995,353618.0,0.16983581412202597
2022-01-09,493842,50108,44311,16424,25582,443734,399423,357417,460158,369198.44444444444,-0.2574407491722477
2022-01-10,634122,287332,156021,1402,12528,346790,190769,176839,348192,395690.8,0.2840584640431556
2022-01-11,192552,133106,180037,574,24236,59446,-120591,-145401,60020,377223.63636363635,-0.6963486521521095
2022-01-12,445350,224270,69056,17559,3783,221080,152024,130682,238639,382900.8333333333,1.3128817150691763
2022-01-13,723464,77102,140938,18244,12366,646362,505424,474814,664606,409098.0,0.6244841136185022
2022-01-14,313954,346080,27008,13681,21270,-32126,-59134,-94085,-18445,402302.0,-0.5660406046465338
2022-01-15,412996,18357,33930,13000,20466,394639,360709,327243,407639,403014.93333333335,0.31546659701739754
2022-01-16,420365,177275,36733,5368,15502,243090,206357,185487,248458,404099.3125,0.01784278782361093
2022-01-17,83825,268058,128449,11283,24594,-184233,-312682,-348559,-172950,385259.64705882355,-0.8005899634841149
2022-01-18,416138,268976,196458,3446,20888,147162,-49296,-73630,150608,386975.1111111111,3.964366239188786
2022-01-19,334908,327505,82129,17198,20282,7403,-74726,-112206,24601,384234.7368421053,-0.19519966934045918
2022-01-20,359606,286037,82963,19153,768,73569,-9394,-29315,92722,383003.3,0.0737456256643616
2022-01-21,778236,224177,110505,5934,18995,554059,443554,418625,559993,401823.90476190473,1.1641351924050212
2022-01-22,365051,198524,31608,7051,24281,166527,134919,103587,173578,400152.4090909091,-0.5309250664322904
2022-01-23,386818,326544,9256,19981,22528,60274,51018,8509,80255,399572.652173913,0.05962728495470504
2022-01-24,56783,95322,156012,18336,18426,-38539,-194551,-231313,-20203,385289.75,-0.853204866371265
2022-01-25,161987,151274,186143,16984,28623,10713,-175430,-221037,27697,376357.64,1.8527376151312893
2022-01-26,375582,317850,155786,18221,8641,57732,-98054,-124916,75953,376327.8076923077,1.3185934673770117
2022-01-27,777866,361407,142891,10042,5171,416459,273568,258355,426501,391199.5925925926,1.071094993902796
2022-01-28,491417,300863,19588,15408,28062,190554,170966,127496,205962,394778.78571428574,-0.3682498013796721
2022-01-29,297444,384340,174970,8466,18164,-86896,-261866,-288496,-78430,391422.4137931034,-0.3947217943213198
2022-01-30,587588,12958,83259,16874,17802,574630,491371,456695,591504,397961.26666666666,0.9754575651215018
2022-01-31,784467,16427,62455,6726,15239,768040,705585,683620,774766,411950.23333333334,0.3350630033288631
2022-02-01,265644,313507,81015,2653,19217,-47863,-128878,-150748,-45210,419309.3333333333,-0.6613700767527506
2022-02-02,635457,196091,167144,1560,6917,439366,272222,263745,440926,436813.9666666667,1.39213759768713
2022-02-03,356192,338276,142857,17028,27070,17916,-124941,-169039,34944,442797.26666666666,-0.4394711207839398
2022-02-04,144982,319317,20171,1578,24239,-174335,-194506,-220323,-172757,441187.4,-0.5929667145809001
