Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2022-01-01,364798,192922,61400,1553,19207,171876,110476,89716,173429
2022-01-02,44871,323399,92836,13812,26017,-278528,-371364,-411193,-264716
2022-01-03,110318,228369,27392,14598,6033,-118051,-145443,-166074,-103453
2022-01-04,176693,22353,146610,13435,8855,154340,7730,-14560,167775
2022-01-05,193278,32454,11516,671,1010,160824,149308,147627,161495
2022-01-06,705430,188028,46903,5814,28868,517402,470499,435817,523216
2022-01-07,568502,238239,123109,12787,7350,330263,207154,187017,343050
2022-01-08,665054,251893,70358,12834,2304,413161,342803,327665,425995
2022-01-09,493842,50108,44311,16424,25582,443734,399423,357417,460158
2022-01-10,634122,287332,156021,1402,12528,346790,190769,176839,348192
2022-01-11,192552,133106,180037,574,24236,59446,-120591,-145401,60020
2022-01-12,445350,224270,69056,17559,3783,221080,152024,130682,238639
2022-01-13,723464,77102,140938,18244,12366,646362,505424,474814,664606
2022-01-14,313954,346080,27008,13681,21270,-32126,-59134,-94085,-18445
2022-01-15,412996,18357,33930,13000,20466,394639,360709,327243,407639
2022-01-16,420365,177275,36733,5368,15502,243090,206357,185487,248458
2022-01-17,83825,268058,128449,11283,24594,-184233,-312682,-348559,-172950
2022-01-18,416138,268976,196458,3446,20888,147162,-49296,-73630,150608
2022-01-19,334908,327505,82129,17198,20282,7403,-74726,-112206,24601
2022-01-20,359606,286037,82963,19153,768,73569,-9394,-29315,92722
2022-01-21,778236,224177,110505,5934,18995,554059,443554,418625,559993
2022-01-22,365051,198524,31608,7051,24281,166527,134919,103587,173578
2022-01-23,386818,326544,9256,19981,22528,60274,51018,8509,80255
2022-01-24,56783,95322,156012,18336,18426,-38539,-194551,-231313,-20203
2022-01-25,161987,151274,186143,16984,28623,10713,-175430,-221037,27697
2022-01-26,375582,317850,155786,18221,8641,57732,-98054,-124916,75953
2022-01-27,777866,361407,142891,10042,5171,416459,273568,258355,426501
2022-01-28,491417,300863,19588,15408,28062,190554,170966,127496,205962
2022-01-29,297444,384340,174970,8466,18164,-86896,-261866,-288496,-78430
2022-01-30,587588,12958,83259,16874,17802,574630,491371,456695,591504
2022-01-31,784467,16427,62455,6726,15239,768040,705585,683620,774766
2022-02-01,265644,313507,81015,2653,19217,-47863,-128878,-150748,-45210
2022-02-02,635457,196091,167144,1560,6917,439366,272222,263745,440926
2022-02-03,356192,338276,142857,17028,27070,17916,-124941,-169039,34944
2022-02-04,144982,319317,20171,1578,24239,-174335,-194506,-220323,-172757
2022-02-05,794049,250187,184165,15982,570,543862,359697,343145,559844
2022-02-06,550677,389105,49923,14878,10387,161572,111649,86384,176450
2022-02-07,207912,242957,154813,11938,28670,-35045,-189858,-230466,-23107
2022-02-08,495390,84872,39984,672,6109,410518,370534,363753,411190
2022-02-09,773895,58839,57382,2565,26721,715056,657674,628388,717621
2022-02-10,74802,85118,25243,1272,8337,-10316,-35559,-45168,-9044
